                     ds       yhat  yhat_lower  yhat_upper
809 2018-01-05 19:00:00 $12,409.28  $10,248.85  $14,637.58
810 2018-01-05 20:00:00 $12,432.33  $10,374.14  $14,634.40
811 2018-01-05 21:00:00 $12,467.66  $10,222.53  $14,837.56
812 2018-01-05 22:00:00 $12,485.13  $10,299.20  $14,668.89
813 2018-01-05 23:00:00 $12,463.36  $10,256.51  $14,841.87
